2024-10-29 11:00:54,344: Namespace(device='cuda', alpha=0.8, beta=1.0, lr=0.0001, pretrain_epochs=10, num_epochs=50, noise_strength=0.3, no_adversarial=False, visualize=False, debug=True, no_cam=False, seed=42, threshold=0.5, positive_weight=1.05, dataset='chexpert', feature='ch_n03')
2024-10-29 11:00:54,443: Number of GPUs available: 8
2024-10-29 11:00:55,733: Number of samples in training dataset: 22341 | testing dataset:234
2024-10-29 11:00:55,734: positive weight: 36.9080
2024-10-29 11:38:17,449: Step [60/699], Loss D: 0.5903, Loss G: -0.8509
2024-10-29 11:38:21,746: Step [80/699], Loss D: 0.2352, Loss G: -0.0462
2024-10-29 11:38:26,104: Step [100/699], Loss D: 0.5036, Loss G: -0.2938
2024-10-29 11:38:30,375: Step [120/699], Loss D: 0.4705, Loss G: -0.2984
2024-10-29 11:38:34,553: Step [140/699], Loss D: 0.5142, Loss G: 0.0002
2024-10-29 11:38:38,874: Step [160/699], Loss D: 0.3258, Loss G: -0.3973
2024-10-29 11:38:43,053: Step [180/699], Loss D: 0.2725, Loss G: -0.5764
2024-10-29 11:38:47,474: Step [200/699], Loss D: 0.5090, Loss G: -0.0784
2024-10-29 11:38:51,958: Step [220/699], Loss D: 0.3533, Loss G: 0.2337
2024-10-29 11:38:56,240: Step [240/699], Loss D: 0.4276, Loss G: -0.3335
2024-10-29 11:39:00,499: Step [260/699], Loss D: 0.3743, Loss G: 0.1120
2024-10-29 11:39:04,858: Step [280/699], Loss D: 0.3787, Loss G: -0.2062
2024-10-29 11:39:09,236: Step [300/699], Loss D: 0.2701, Loss G: -0.0228
2024-10-29 11:39:13,564: Step [320/699], Loss D: 0.4014, Loss G: -0.3003
2024-10-29 11:39:17,879: Step [340/699], Loss D: 0.4023, Loss G: -0.5111
2024-10-29 11:39:22,457: Step [360/699], Loss D: 0.3525, Loss G: -0.3498
2024-10-29 11:39:26,792: Step [380/699], Loss D: 0.3169, Loss G: 0.5637
2024-10-29 11:39:31,148: Step [400/699], Loss D: 0.2140, Loss G: -0.2810
2024-10-29 11:39:35,374: Step [420/699], Loss D: 0.3181, Loss G: 0.0089
2024-10-29 11:39:39,699: Step [440/699], Loss D: 0.3317, Loss G: 0.2161
2024-10-29 11:39:44,116: Step [460/699], Loss D: 0.2738, Loss G: 0.2519
2024-10-29 11:39:48,454: Step [480/699], Loss D: 0.4263, Loss G: -0.0455
2024-10-29 11:39:52,828: Step [500/699], Loss D: 0.2202, Loss G: -0.3057
2024-10-29 11:39:57,249: Step [520/699], Loss D: 0.3680, Loss G: -0.2627
2024-10-29 11:40:01,642: Step [540/699], Loss D: 0.2453, Loss G: -0.3023
2024-10-29 11:40:05,877: Step [560/699], Loss D: 0.2362, Loss G: 0.3606
2024-10-29 11:40:09,417: Step [580/699], Loss D: 0.3903, Loss G: -0.4746
2024-10-29 11:40:13,080: Step [600/699], Loss D: 0.1878, Loss G: -0.3233
2024-10-29 11:40:16,720: Step [620/699], Loss D: 0.4538, Loss G: -0.3162
2024-10-29 11:40:20,321: Step [640/699], Loss D: 0.3870, Loss G: 0.0606
2024-10-29 11:40:24,036: Step [660/699], Loss D: 0.3279, Loss G: 0.0240
2024-10-29 11:40:27,717: Step [680/699], Loss D: 0.3663, Loss G: 0.2127
2024-10-29 11:41:10,961: Test Loss: 0.7868, Accuracy: 0.7650, F1: 0.0000, AUC: 0.3850
2024-10-29 11:41:10,961: DP:0.01, EO:0.00
2024-10-29 11:41:50,150: Step [20/699], Loss D: 0.3115, Loss G: 0.1795
2024-10-29 11:41:53,768: Step [40/699], Loss D: 0.4805, Loss G: 0.1752
2024-10-29 11:41:57,424: Step [60/699], Loss D: 0.2488, Loss G: -0.0629
2024-10-29 11:42:01,127: Step [80/699], Loss D: 0.4935, Loss G: -0.0078
2024-10-29 11:42:04,969: Step [100/699], Loss D: 0.2823, Loss G: -0.2185
2024-10-29 11:42:09,485: Step [120/699], Loss D: 0.4785, Loss G: -0.0162
2024-10-29 11:42:14,375: Step [140/699], Loss D: 0.2660, Loss G: -0.2058
2024-10-29 11:42:19,005: Step [160/699], Loss D: 0.3695, Loss G: 0.5755
2024-10-29 11:42:23,597: Step [180/699], Loss D: 0.3231, Loss G: 0.2010
2024-10-29 11:42:28,298: Step [200/699], Loss D: 0.5117, Loss G: -0.5700
2024-10-29 11:42:32,939: Step [220/699], Loss D: 0.3692, Loss G: -0.2918
2024-10-29 11:42:37,545: Step [240/699], Loss D: 0.3979, Loss G: -0.4139
2024-10-29 11:42:42,240: Step [260/699], Loss D: 0.5704, Loss G: -0.1478
2024-10-29 11:42:46,963: Step [280/699], Loss D: 0.3874, Loss G: 0.2112
2024-10-29 11:42:51,622: Step [300/699], Loss D: 0.2349, Loss G: 0.3768
2024-10-29 11:42:56,209: Step [320/699], Loss D: 0.3822, Loss G: -0.2589
2024-10-29 11:43:00,800: Step [340/699], Loss D: 0.2595, Loss G: 0.0513
2024-10-29 11:43:05,428: Step [360/699], Loss D: 0.5798, Loss G: 0.4080
2024-10-29 11:43:09,992: Step [380/699], Loss D: 0.4831, Loss G: -0.3510
2024-10-29 11:43:14,614: Step [400/699], Loss D: 0.3192, Loss G: -0.2738
2024-10-29 11:43:19,348: Step [420/699], Loss D: 0.5877, Loss G: -0.3584
2024-10-29 11:43:23,876: Step [440/699], Loss D: 0.2398, Loss G: -0.2852
